iter	Passed	Remaining
222	686	2393
223	689	2389
224	692	2386
225	695	2382
226	698	2379
227	701	2375
228	704	2372
229	707	2369
230	710	2366
231	714	2363
232	717	2360
233	720	2357
234	723	2354
235	726	2350
236	729	2347
237	732	2343
238	734	2340
239	737	2336
240	740	2333
241	743	2330
242	746	2325
243	749	2322
244	752	2319
245	755	2315
246	758	2313
247	761	2309
248	764	2306
249	767	2303
250	771	2300
251	774	2298
252	777	2296
253	780	2293
254	784	2291
255	787	2288
256	790	2286
257	793	2282
258	796	2279
259	799	2276
260	802	2272
261	805	2269
262	809	2267
263	812	2264
264	815	2260
265	818	2258
266	821	2254
267	824	2251
268	827	2248
269	830	2246
270	833	2243
271	837	2240
272	840	2237
273	842	2233
274	845	2230
275	849	2227
276	852	2224
277	855	2220
278	858	2218
279	861	2215
280	864	2212
281	867	2209
282	870	2206
283	874	2203
284	876	2199
285	879	2196
286	883	2194
287	886	2191
288	889	2188
289	892	2185
290	896	2183
291	899	2181
292	902	2178
293	906	2175
294	909	2173
295	912	2171
296	916	2168
297	919	2166
298	923	2164
299	926	2161
300	929	2159
301	933	2156
302	936	2153
303	939	2150
304	942	2147
305	945	2144
306	948	2140
307	951	2137
308	954	2134
309	957	2131
310	960	2128
311	964	2126
312	967	2123
313	970	2120
314	973	2117
315	977	2115
316	980	2112
317	983	2109
318	986	2106
319	989	2103
320	992	2099
321	995	2096
322	999	2094
323	1002	2091
324	1005	2087
325	1008	2084
326	1011	2081
327	1014	2078
328	1017	2075
329	1020	2072
330	1023	2069
331	1026	2066
332	1029	2062
333	1033	2060
334	1036	2056
335	1039	2054
336	1042	2050
337	1045	2047
338	1048	2044
339	1051	2041
340	1054	2037
341	1057	2034
342	1061	2032
343	1064	2029
344	1067	2026
345	1070	2023
346	1073	2020
347	1076	2017
348	1080	2014
349	1083	2012
350	1087	2010
351	1090	2007
352	1093	2004
353	1096	2000
354	1099	1997
355	1103	1995
356	1106	1992
357	1109	1989
358	1112	1985
359	1115	1982
360	1118	1980
361	1121	1976
362	1124	1973
363	1127	1970
364	1131	1967
365	1134	1965
366	1137	1961
367	1140	1958
368	1143	1954
369	1146	1951
370	1149	1948
371	1152	1945
372	1155	1942
373	1158	1939
374	1161	1936
375	1164	1932
376	1167	1929
377	1171	1926
378	1173	1923
379	1176	1920
380	1180	1917
381	1183	1914
382	1186	1910
383	1189	1908
384	1192	1904
385	1195	1901
386	1198	1898
387	1201	1895
388	1204	1892
389	1207	1889
390	1210	1885
391	1214	1883
392	1217	1880
393	1220	1877
394	1223	1874
395	1226	1870
396	1229	1867
397	1232	1864
398	1235	1860
399	1238	1857
400	1241	1854
401	1244	1851
402	1247	1848
403	1251	1845
404	1254	1842
405	1257	1839
406	1260	1836
407	1263	1833
408	1266	1830
409	1269	1827
410	1272	1824
411	1275	1820
412	1279	1817
413	1282	1814
414	1285	1811
415	1288	1808
416	1291	1805
417	1295	1803
418	1298	1799
419	1301	1796
420	1304	1793
421	1307	1790
422	1310	1788
423	1314	1785
424	1317	1782
425	1320	1779
426	1323	1776
427	1327	1773
428	1330	1770
429	1333	1767
430	1336	1764
431	1339	1761
432	1343	1758
433	1346	1756
434	1349	1752
435	1352	1749
436	1355	1746
437	1358	1743
438	1362	1740
439	1365	1737
440	1368	1734
441	1371	1731
442	1374	1727
443	1377	1724
444	1380	1721
445	1383	1718
446	1386	1715
447	1389	1712
448	1393	1709
449	1396	1706
450	1399	1703
451	1402	1700
452	1405	1696
453	1408	1693
454	1411	1690
455	1414	1687
456	1417	1684
457	1420	1681
458	1423	1678
459	1426	1675
460	1429	1671
461	1432	1668
462	1436	1665
463	1439	1662
464	1442	1659
465	1445	1656
466	1448	1653
467	1451	1649
468	1454	1646
469	1457	1643
470	1460	1640
471	1463	1637
472	1467	1634
473	1470	1631
474	1473	1628
475	1476	1625
476	1479	1622
477	1482	1619
478	1485	1616
479	1489	1613
480	1492	1610
481	1495	1607
482	1498	1604
483	1502	1601
484	1504	1598
485	1508	1594
486	1511	1592
487	1514	1589
488	1517	1586
489	1521	1583
490	1524	1580
491	1527	1577
492	1530	1573
493	1533	1570
494	1536	1567
495	1539	1564
496	1542	1561
497	1545	1557
498	1548	1554
499	1551	1551
500	1554	1548
501	1557	1545
502	1560	1542
503	1563	1539
504	1566	1535
505	1569	1532
506	1572	1529
507	1576	1526
508	1579	1523
509	1582	1520
510	1585	1517
511	1588	1514
512	1592	1511
513	1595	1508
514	1598	1505
515	1601	1502
516	1604	1498
517	1607	1496
518	1610	1492
519	1613	1489
520	1616	1486
521	1619	1483
522	1623	1480
523	1626	1477
524	1629	1474
525	1632	1471
526	1635	1468
527	1638	1464
528	1641	1461
529	1645	1459
530	1648	1455
531	1651	1452
532	1654	1449
533	1657	1446
534	1660	1443
535	1663	1440
536	1666	1437
537	1670	1434
538	1673	1430
539	1676	1428
540	1680	1425
541	1683	1422
542	1686	1419
543	1689	1416
544	1692	1413
545	1696	1410
546	1699	1407
547	1702	1403
548	1705	1400
549	1708	1397
550	1711	1394
551	1714	1391
552	1717	1388
553	1720	1385
554	1723	1381
555	1726	1378
556	1729	1375
557	1732	1372
558	1735	1368
559	1738	1365
560	1741	1362
561	1744	1359
562	1747	1356
563	1750	1352
564	1753	1350
565	1756	1347
566	1759	1344
567	1762	1340
568	1766	1337
569	1769	1334
570	1772	1331
571	1775	1328
572	1778	1325
573	1781	1322
574	1784	1319
575	1788	1316
576	1791	1313
577	1795	1310
578	1798	1307
579	1801	1304
580	1804	1301
581	1807	1298
582	1810	1295
583	1813	1291
584	1817	1289
585	1820	1285
586	1823	1282
587	1826	1279
588	1829	1276
589	1833	1273
590	1836	1271
591	1839	1267
592	1842	1264
593	1845	1261
594	1848	1258
595	1852	1255
596	1854	1252
597	1858	1249
598	1861	1246
599	1864	1242
600	1867	1239
601	1870	1236
602	1873	1233
603	1876	1230
604	1879	1226
605	1882	1223
606	1885	1220
607	1887	1217
608	1890	1213
609	1893	1210
610	1896	1207
611	1899	1204
612	1902	1201
613	1905	1198
614	1908	1194
615	1911	1191
616	1914	1188
617	1918	1185
618	1921	1182
619	1924	1179
620	1927	1176
621	1930	1173
622	1933	1170
623	1936	1167
624	1940	1164
625	1943	1160
626	1946	1157
627	1949	1154
628	1952	1151
629	1955	1148
630	1958	1145
631	1961	1142
632	1964	1138
633	1967	1135
634	1970	1132
635	1973	1129
636	1976	1126
637	1979	1123
638	1982	1120
639	1986	1117
640	1989	1114
641	1992	1110
642	1995	1107
643	1998	1104
644	2001	1101
645	2004	1098
646	2007	1095
647	2010	1092
648	2013	1089
649	2016	1086
650	2019	1082
651	2022	1079
652	2025	1076
653	2029	1073
654	2032	1070
655	2035	1067
656	2038	1064
657	2041	1060
658	2044	1057
659	2047	1054
660	2050	1051
661	2053	1048
662	2056	1045
663	2059	1041
664	2062	1038
665	2065	1035
666	2068	1032
667	2071	1029
668	2074	1026
669	2077	1023
670	2080	1020
671	2084	1017
672	2087	1014
673	2090	1011
674	2093	1008
675	2096	1004
676	2100	1001
677	2103	998
678	2105	995
679	2109	992
680	2112	989
681	2115	986
682	2118	983
683	2121	980
684	2124	976
685	2127	973
686	2131	970
687	2134	967
688	2137	964
689	2140	961
690	2143	958
691	2146	955
692	2149	952
693	2152	949
694	2155	946
695	2159	943
696	2162	940
697	2165	936
698	2168	933
699	2171	930
700	2174	927
701	2177	924
702	2180	921
703	2183	918
704	2187	915
705	2190	912
706	2193	908
707	2196	905
708	2199	902
709	2202	899
710	2205	896
711	2208	893
712	2211	890
713	2214	887
714	2217	884
715	2220	880
716	2223	877
717	2227	874
718	2230	871
719	2233	868
720	2236	865
721	2239	862
722	2242	859
723	2245	856
724	2248	852
725	2251	849
726	2254	846
727	2257	843
728	2260	840
729	2264	837
730	2267	834
731	2270	831
732	2273	828
733	2276	824
734	2279	821
735	2282	818
736	2285	815
737	2288	812
738	2291	809
739	2294	806
740	2297	802
741	2300	799
742	2303	796
743	2306	793
744	2309	790
745	2312	787
746	2315	784
747	2318	780
748	2321	777
749	2324	774
750	2327	771
751	2330	768
752	2333	765
753	2336	762
754	2340	759
755	2343	756
756	2346	753
757	2349	750
758	2352	747
759	2355	743
760	2358	740
761	2361	737
762	2365	734
763	2367	731
764	2371	728
765	2374	725
766	2378	722
767	2381	719
768	2384	716
769	2387	713
770	2391	710
771	2394	707
772	2397	704
773	2400	700
774	2403	697
775	2406	694
776	2409	691
777	2413	688
778	2416	685
779	2419	682
780	2422	679
781	2425	676
782	2428	672
783	2431	669
784	2434	666
785	2437	663
786	2440	660
787	2442	657
788	2445	654
789	2449	651
790	2452	647
791	2454	644
792	2458	641
793	2461	638
794	2463	635
795	2467	632
796	2470	629
797	2473	626
798	2476	623
799	2479	619
800	2482	616
801	2485	613
802	2488	610
803	2491	607
804	2494	604
805	2497	601
806	2500	598
807	2503	595
808	2507	591
809	2510	588
810	2513	585
811	2516	582
812	2519	579
813	2523	576
814	2526	573
815	2529	570
816	2533	567
817	2536	564
818	2539	561
819	2542	558
820	2545	554
821	2548	551
822	2551	548
823	2554	545
824	2557	542
825	2560	539
826	2564	536
827	2567	533
828	2570	530
829	2573	527
830	2576	523
831	2579	520
832	2582	517
833	2585	514
834	2588	511
835	2591	508
836	2594	505
837	2598	502
838	2601	499
839	2603	495
840	2607	492
841	2610	489
842	2613	486
843	2616	483
844	2619	480
845	2622	477
846	2625	474
847	2628	471
848	2632	468
849	2635	465
850	2638	461
851	2640	458
852	2643	455
853	2647	452
854	2650	449
855	2653	446
856	2656	443
857	2659	440
858	2662	437
859	2666	434
860	2669	430
861	2672	427
862	2675	424
863	2678	421
864	2681	418
865	2684	415
866	2687	412
867	2691	409
868	2694	406
869	2697	403
870	2700	399
871	2703	396
872	2706	393
873	2709	390
874	2712	387
875	2715	384
876	2719	381
877	2721	378
878	2724	375
879	2727	371
880	2731	368
881	2734	365
882	2737	362
883	2740	359
884	2743	356
885	2746	353
886	2749	350
887	2751	347
888	2754	343
889	2758	340
890	2761	337
891	2764	334
892	2767	331
893	2770	328
894	2773	325
895	2776	322
896	2778	319
897	2782	316
898	2785	312
899	2788	309
900	2792	306
901	2794	303
902	2798	300
903	2801	297
904	2804	294
905	2807	291
906	2810	288
907	2813	285
908	2816	281
909	2819	278
910	2822	275
911	2825	272
912	2828	269
913	2831	266
914	2834	263
915	2837	260
916	2840	257
917	2843	254
918	2846	250
919	2850	247
920	2853	244
921	2856	241
922	2859	238
923	2862	235
924	2864	232
925	2868	229
926	2871	226
927	2874	223
928	2877	219
929	2880	216
930	2884	213
931	2887	210
932	2890	207
933	2893	204
934	2896	201
935	2899	198
936	2902	195
937	2905	192
938	2907	188
939	2910	185
940	2914	182
941	2917	179
942	2920	176
943	2923	173
944	2926	170
945	2929	167
946	2932	164
947	2935	161
948	2938	157
949	2941	154
950	2944	151
951	2947	148
952	2950	145
953	2953	142
954	2956	139
955	2959	136
956	2962	133
957	2965	129
958	2968	126
959	2971	123
960	2974	120
961	2977	117
962	2980	114
963	2983	111
964	2986	108
965	2989	105
966	2992	102
967	2995	99
968	2998	95
969	3002	92
970	3005	89
971	3008	86
972	3011	83
973	3014	80
974	3018	77
975	3021	74
976	3024	71
977	3027	68
978	3030	65
979	3033	61
980	3036	58
981	3039	55
982	3042	52
983	3045	49
984	3049	46
985	3052	43
986	3055	40
987	3058	37
988	3061	34
989	3065	30
990	3068	27
991	3072	24
992	3075	21
993	3078	18
994	3081	15
995	3086	12
996	3090	9
997	3092	6
998	3096	3
999	3099	0
