iter	RMSE
349	53.52147926
350	53.49428745
351	53.46241243
352	53.43557954
353	53.38864062
354	53.36231316
355	53.33115205
356	53.29947708
357	53.2565118
358	53.20631149
359	53.1749693
360	53.12833447
361	53.09875475
362	53.06482263
363	53.04074541
364	53.00574271
365	52.95762414
366	52.93991735
367	52.8997175
368	52.87821455
369	52.85909181
370	52.83652135
371	52.80511676
372	52.76593737
373	52.74469664
374	52.69493142
375	52.68220761
376	52.64505497
377	52.61684951
378	52.60442478
379	52.56917978
380	52.54952987
381	52.52650759
382	52.49992374
383	52.4736211
384	52.43853463
385	52.40214039
386	52.36998481
387	52.34056635
388	52.29350679
389	52.24376953
390	52.21285026
391	52.18566306
392	52.14644669
393	52.12776802
394	52.0795762
395	52.049603
396	52.01281136
397	51.98295978
398	51.96082182
399	51.92917968
400	51.89565076
401	51.86172987
402	51.82855039
403	51.80615992
404	51.76804129
405	51.7434918
406	51.70843034
407	51.67970141
408	51.64304401
409	51.62222849
410	51.59583636
411	51.57259668
412	51.54017078
413	51.50643447
414	51.48532765
415	51.46353949
416	51.43655109
417	51.39772374
418	51.37034121
419	51.34552324
420	51.30750405
421	51.28669666
422	51.25118498
423	51.22662635
424	51.18386541
425	51.15885292
426	51.14032411
427	51.1131493
428	51.09190032
429	51.08069343
430	51.06871503
431	51.04952045
432	51.01812423
433	50.99769848
434	50.97904736
435	50.96939785
436	50.94311751
437	50.91602513
438	50.88185008
439	50.85414334
440	50.81839578
441	50.7859761
442	50.77194278
443	50.75800733
444	50.71580225
445	50.68423289
446	50.65586292
447	50.62421118
448	50.58857056
449	50.56610706
450	50.55721771
451	50.53352738
452	50.50743278
453	50.48906206
454	50.47913792
455	50.4512087
456	50.42648887
457	50.40281621
458	50.38445542
459	50.36851957
460	50.3347094
461	50.31654428
462	50.28536505
463	50.26584146
464	50.23709711
465	50.22550729
466	50.17993663
467	50.15477323
468	50.12073062
469	50.09584058
470	50.03600507
471	50.02645116
472	50.00786471
473	49.9946201
474	49.97729569
475	49.94186291
476	49.91786434
477	49.89493527
478	49.88720827
479	49.86442398
480	49.83392294
481	49.81819392
482	49.79996793
483	49.77952674
484	49.76415206
485	49.73299967
486	49.71671728
487	49.70502721
488	49.67644136
489	49.66063526
490	49.62707605
491	49.60506801
492	49.58067462
493	49.56497521
494	49.5346306
495	49.52487143
496	49.49140506
497	49.47205036
498	49.45253642
499	49.43525677
500	49.41938231
501	49.39056805
502	49.36598105
503	49.34106755
504	49.31322753
505	49.31169621
506	49.24663919
507	49.21456413
508	49.16763054
509	49.1447209
510	49.12719398
511	49.09574482
512	49.06858624
513	49.04959047
514	49.00517081
515	48.98495711
516	48.93394429
517	48.90333873
518	48.8813342
519	48.86701043
520	48.8591614
521	48.82705029
522	48.79689781
523	48.76702043
524	48.74076729
525	48.722497
526	48.70070866
527	48.67103765
528	48.64450844
529	48.59915448
530	48.56717535
531	48.54395264
532	48.51268581
533	48.49072577
534	48.45815933
535	48.43672783
536	48.39977486
537	48.37408343
538	48.34160527
539	48.30018139
540	48.28326303
541	48.26037311
542	48.24605144
543	48.21823093
544	48.19022766
545	48.16563697
546	48.15598731
547	48.14272637
548	48.12286723
549	48.11367569
550	48.0957993
551	48.07698236
552	48.05232085
553	48.04837882
554	48.01728704
555	48.01590153
556	48.01349377
557	47.98720083
558	47.968892
559	47.94392986
560	47.91699196
561	47.91228759
562	47.89077955
563	47.86035658
564	47.8453881
565	47.8189687
566	47.81789761
567	47.76996053
568	47.74752743
569	47.72032645
570	47.68911648
571	47.66418093
572	47.62460815
573	47.6036388
574	47.57806521
575	47.55947135
576	47.52850213
577	47.51031296
578	47.48868265
579	47.46079064
580	47.45954631
581	47.42588454
582	47.40499621
583	47.40333729
584	47.37686714
585	47.37438806
586	47.35225657
587	47.33397527
588	47.3084559
589	47.30687877
590	47.26839056
591	47.25083661
592	47.219658
593	47.18431603
594	47.18205467
595	47.13853963
596	47.136284
597	47.12237415
598	47.10090952
599	47.09859924
600	47.09468598
601	47.04531488
602	47.03237639
603	47.0278525
604	47.02356376
605	47.00130946
606	46.96842043
607	46.9642581
608	46.96283466
609	46.93459011
610	46.91913025
611	46.90624785
612	46.90215622
613	46.87988196
614	46.87372827
615	46.8550255
616	46.83064267
617	46.79079328
618	46.76290665
619	46.75941982
620	46.7576341
621	46.73195669
622	46.70689465
623	46.6785583
624	46.66113019
625	46.65823334
626	46.63442977
627	46.59650267
628	46.57477703
629	46.56079033
630	46.55019314
631	46.54779409
632	46.5443811
633	46.54312286
634	46.51321358
635	46.49631384
636	46.47782323
637	46.46527961
638	46.44388783
639	46.40936759
640	46.3733571
641	46.36973852
642	46.34240282
643	46.32233326
644	46.28368382
645	46.26663348
646	46.24175128
647	46.23803611
648	46.21362076
649	46.19520104
650	46.1751177
651	46.17061857
652	46.15355361
653	46.12265646
654	46.1004278
655	46.09714953
656	46.09393192
657	46.085415
658	46.08008291
659	46.07852047
660	46.07741586
661	46.03288575
662	46.02719488
663	46.00275959
664	45.97429212
665	45.94483447
666	45.90898142
667	45.90811414
668	45.88557902
669	45.86441531
670	45.84860476
671	45.82827275
672	45.81548774
673	45.8001041
674	45.78113386
675	45.75142775
676	45.72369293
677	45.70770508
678	45.68808306
679	45.66824499
680	45.66232663
681	45.64696624
682	45.64559903
683	45.64426566
684	45.62805419
685	45.60164148
686	45.56281799
687	45.53511913
688	45.50245984
689	45.47482248
690	45.47430755
691	45.42711816
692	45.41292363
693	45.38299683
694	45.36283943
695	45.33733277
696	45.31867087
697	45.2983377
698	45.28508262
699	45.26509992
700	45.24731725
701	45.24454425
702	45.23898936
703	45.21112792
704	45.19847557
705	45.1744257
706	45.14731054
707	45.12496901
708	45.10368429
709	45.08336794
710	45.0790185
711	45.0546326
712	45.04039099
713	45.01901574
714	44.99333567
715	44.97933805
716	44.95420503
717	44.92040061
718	44.912815
719	44.89662851
720	44.88535039
721	44.88087557
722	44.85266118
723	44.83563679
724	44.80985183
725	44.79443198
726	44.77767121
727	44.77622724
728	44.7535584
729	44.74692176
730	44.72784404
731	44.70174686
732	44.67934934
733	44.67333786
734	44.66276014
735	44.65827799
736	44.61746326
737	44.58750408
738	44.57021613
739	44.56751425
740	44.54253727
741	44.53190072
742	44.52157728
743	44.51911876
744	44.50368486
745	44.48990907
746	44.46157021
747	44.42725737
748	44.41430781
749	44.39342293
750	44.38423372
751	44.35507376
752	44.33097906
753	44.30199938
754	44.28102733
755	44.26137667
756	44.24335034
757	44.22373496
758	44.21231985
759	44.19148316
760	44.18112166
761	44.15801045
762	44.12441617
763	44.11787232
764	44.1000932
765	44.08564624
766	44.0538823
767	44.03546819
768	44.01408384
769	43.99313051
770	43.95547283
771	43.93151412
772	43.88397386
773	43.86495005
774	43.84809687
775	43.84433892
776	43.79378851
777	43.79314342
778	43.76711439
779	43.74504924
780	43.72392561
781	43.721621
782	43.72050392
783	43.69656212
784	43.6929723
785	43.66991189
786	43.65205817
787	43.64588519
788	43.64396897
789	43.61810106
790	43.61311981
791	43.61078836
792	43.60487997
793	43.5924352
794	43.59206066
795	43.57258934
796	43.54858788
797	43.52180737
798	43.49474484
799	43.47266711
800	43.45325483
801	43.44296769
802	43.41348015
803	43.40602531
804	43.38937304
805	43.37198057
806	43.3532699
807	43.33073773
808	43.31401176
809	43.29343571
810	43.28336506
811	43.26266621
812	43.22363988
813	43.20968955
814	43.19795801
815	43.17152328
816	43.15793484
817	43.14436384
818	43.12617861
819	43.12112803
820	43.10575282
821	43.08106371
822	43.06920243
823	43.04600203
824	43.017658
825	42.99907972
826	42.97718112
827	42.96682999
828	42.9416173
829	42.91867005
830	42.88886209
831	42.86010025
832	42.84359943
833	42.82752396
834	42.80528879
835	42.78386403
836	42.75730648
837	42.71812635
838	42.70076011
839	42.68963785
840	42.67268791
841	42.65805536
842	42.6400986
843	42.62831959
844	42.59757065
845	42.57852662
846	42.57516211
847	42.55664771
848	42.53742238
849	42.5190085
850	42.47478115
851	42.44650657
852	42.41182438
853	42.39748426
854	42.37279565
855	42.35339738
856	42.34920042
857	42.31698545
858	42.29732555
859	42.27295888
860	42.24731701
861	42.2348527
862	42.20834282
863	42.19993751
864	42.17349375
865	42.16058853
866	42.15665419
867	42.13264757
868	42.12807703
869	42.12262973
870	42.10260033
871	42.0709287
872	42.04810832
873	42.04195799
874	42.02098624
875	42.01116408
876	41.99315782
877	41.99272229
878	41.98011152
879	41.97965408
880	41.96683847
881	41.93311998
